Account Link,Profile Name,Profile Social Links,Activity,Registration Date,Collection Url,Collection Name,Collection Social Links,Total volume
https://opensea.io/animeXjoker,animeXjoker,"https://twitter.com/anime_X_joker , https://www.instagram.com/animexjoker, ",Yes,25 August 2023,https://opensea.io/collection/art-754,ART,,0.0
https://opensea.io/MAGICALMERMAIDS,MAGICALMERMAIDS,"https://twitter.com/Magical8mermaid , https://www.instagram.com/magicalmermaidsnfts/, ",Yes,13 April 2022,https://opensea.io/collection/magicalmermaids,MAGICAL MERMAIDS,"https://discord.gg/rkkuVM29UN, http://WWW.magicalnfts.gq , https://www.instagram.com/magicalmermaidsnfts/, ",0.62
https://opensea.io/Modhaus,Modhaus,"https://twitter.com/triplescosmos , https://mod-haus.com/ , ",No,12 August 2022,https://opensea.io/collection/artms-objekt,ARTMS Objekt,,0.0
https://opensea.io/Photography-architectural-art-tourism,Photography-architectural-art-tourism,"https://www.instagram.com/yasintagavy_daghdaghan, ",Yes,24 August 2023,https://opensea.io/collection/untitled-collection-4299918580,Untitled Collection #4299918580,,0.0
https://opensea.io/gallarygai,gallarygai,"https://twitter.com/shopgallerygai , https://twitter.com/Gallarygaieng?t=7mwjc6vKBoxBLK9_O63QUg&s=09 , ",Yes,03 December 2021,https://opensea.io/collection/gallerygai-2nd-season,GalleryGai2ndSeason,"https://gaitakatu.livedoor.blog/ , ",0.0
https://opensea.io/JCI-DIGITAL,JCI-DIGITAL,"https://jci-digital-art.company.site/?lang=en&from_admin&vertical=art , ",Yes,15 August 2023,https://opensea.io/collection/simian-art,SIMIAN ART,,0.0
https://opensea.io/Viblers_,Viblers_,"https://www.instagram.com/viblers_, ",Yes,27 August 2022,https://opensea.io/collection/viblers-collection,cyberpunk_ronaldo,,0.0
https://opensea.io/voicehq,voicehq,"https://www.instagram.com/voicehq, https://www.voice.com , ",Yes,31 May 2022,https://opensea.io/collection/voice-shared-storefront-polygon,Voice Shared Storefront (Polygon),"https://www.voice.com , ",0.0
https://opensea.io/Jmrtycl,Jmrtycl,"https://twitter.com/ermutech , https://www.instagram.com/j.mrtycl, https://opensea.io/Jmrtycl , ",Yes,27 June 2022,https://opensea.io/collection/jm-sarita-yucel-art,JM SARITA YUCEL ART,,0.0
https://opensea.io/blogfia,blogfia,"https://twitter.com/blogfia , https://www.instagram.com/blogfia, https://birgittarudenius.com/ , ",Yes,23 August 2023,https://opensea.io/collection/drawing-my-lines,BR art lines,,0.0
https://opensea.io/frictional_arts,frictional_arts,"https://www.instagram.com/frictional_arts, ",Yes,28 August 2023,https://opensea.io/collection/frictional-arts-collection,frictional_arts Collection,,0.0
https://opensea.io/farred007,farred007,"https://twitter.com/Mohamad38106655 , https://www.instagram.com/farred007, ",Yes,08 November 2022,https://opensea.io/collection/art-pelik,Art Pelik,,0.0
https://opensea.io/ByChristineHoel,ByChristineHoel,"Instagram.com/bychristinehoel , ",Yes,25 August 2023,https://opensea.io/collection/untitled-collection-4303603951,Christine Hoel - Art,"http://Instagram.com/bychristinehoel , ",0.0
https://opensea.io/SLBLS,SLBLS,"https://twitter.com/slbls_art , slbls.art , ",Yes,19 March 2022,https://opensea.io/collection/progressive-jpeg,Progressive by 0xhaiku,"https://www.slbls.art/progressive , ",0.39
https://opensea.io/Asif_03,Asif_03,"https://twitter.com/MdAsifUllah11 , https://www.behance.net/uxdesignerAsif , ",Yes,28 August 2023,https://opensea.io/collection/untitled-collection-4314318780,NFT Art,,0.0
https://opensea.io/Emojism,Emojism,"https://twitter.com/Emojism_Art , ",Yes,02 August 2022,https://opensea.io/collection/emojinative-art,Emojinative Art,,0.0
https://opensea.io/MyDreamsNFTs,MyDreamsNFTs,"https://twitter.com/MyDreamsNFTs , https://t.me/TopDreamsNFTs , ",Yes,06 August 2022,https://opensea.io/collection/odyssey-art,Dimensional Dreams: A 3D NFT Odyssey,,0.0
